model_name,user_id,alpha,backspace_rate,bigram_32_16,bigram_65_78,bigram_65_83,bigram_65_85,bigram_66_69,bigram_67_72,bigram_68_65,bigram_68_69,bigram_68_73,bigram_69_32,bigram_69_73,bigram_69_76,bigram_69_78,bigram_69_82,bigram_69_83,bigram_71_69,bigram_72_69,bigram_72_82,bigram_73_69,bigram_73_77,bigram_73_78,bigram_76_65,bigram_76_69,bigram_77_69,bigram_78_68,bigram_78_69,bigram_82_32,bigram_82_69,bigram_83_32,bigram_83_67,bigram_83_69,bigram_83_84,bigram_84_69,bigram_85_83,bigram_8_8,correct,duration_med,pp_mad,pp_med,pp_perc95,pr_med,reaction_time,rp_med,rr_med,bal_accuracy,roc_auc,sens,spec,roc_auc_session,bal_accuracy_session,sens_session,spec_session,bigram_69_72,n_sessions_train,n_trials_train,bigram_73_84,bigram_77_32,bigram_8_69,bigram_85_78
full,u056,21.9841760338385,1.43625893675115,38.1657456990553,1.8353344305588,19.2338182266361,4.31367318711486,0.498487894634512,13.0199805891583,13.2988850051388,9.45708001694773,12.1210233576317,12.1276002482969,0.723553969089129,0.683598012013631,7.91015330500346,16.3335955816781,4.84294108810477,7.45968195102654,0.566474036137825,0.342203915593651,7.03885226163559,0.208462952203963,0.720562218439307,0.26186086126549,0.24421722234798,1.1412236223135,0.859193266275428,1.91166347289047,2.87669691505664,1.28991668069924,1.46119797232283,2.11362628725836,2.42728224778971,1.05987828139783,16.1401193327526,1.28256348162844,0.683715007031584,1.2599299576363,100,11.247368073052,9.12747805252484,17.2651211824299,49.2252240169972,5.10692984656201,15.7351793081888,34.3794702486659,0.922655138857699,0.970866082790573,1,0.845310277715398,0.990451388888889,0.937934027777778,1,0.875868055555556,,4,140,,,,
bigram_agnostic,u056,18.0013317419414,4.27604222742094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.555199503556889,100,12.7527038914753,10.8765700491024,25.7814863905187,29.321402301897,12.1857827050533,13.7368207119778,13.5726429547842,0.873015127697364,0.93378076747715,0.963636363636364,0.782393891758365,0.953125,0.903211805555556,1,0.806423611111111,,4,140,,,,
only_keystroke,u056,,2.06016552533522,25.2168254626013,0.208898840920011,16.0580276937514,3.68634966068343,0.309203046099604,9.14433403731371,3.76305959791073,6.63638586322181,7.68206771008707,4.02446628107533,0.0613741335958498,1.13669248780486,3.33382111610978,11.9142523822212,8.11235005496606,10.4694488812116,1.35622240453708,,13.7188731714341,0.924255824610474,,,1.10431476515422,1.59566056484496,,1.28588047299947,0.447397483122002,0.399942745598253,0.392989344360337,2.3108315518658,3.339922038353,0.7834824009491,10.6076603209668,1.69713816526728,0.203427088683821,,100,9.99660337756791,13.3871517831501,19.4367984137831,25.2196314371013,,15.9179406073081,9.1447626053863,0.910831989329631,0.970455055835614,0.981818181818182,0.839845796841081,0.980902777777778,0.932725694444444,1,0.865451388888889,0.184709146633843,4,140,,,,
only_performance,u056,78.2309250259119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27143442322344,,,,,,100,,,0.49796800250427,0.518383248610069,0.381818181818182,0.614117823190359,0.563368055555556,0.41015625,0,0.8203125,,4,140,,,,
full,u647,16.7329688563951,3.40851869191816,16.811164129727,0.582755825644053,2.49624191760696,0.727618211565832,2.0352298652304,6.50110828773869,0.745603233555374,2.82698550100005,1.03824002920946,5.99305079095742,13.819707103582,3.4299125009619,3.99636627765991,16.4991056746014,3.62254044348969,4.61257135041842,0.779879392169124,,3.57139075359363,0.391132549265496,2.77362525761163,0.10230391396289,,0.336107444256627,2.30219213995966,0.037021466396192,1.55676042183318,0.547305733592556,1.49086181961269,1.68076077232079,0.1724704338723,0.569731464330126,0.88087202142113,0.382215262563397,1.69519383355201,1.02006818422845,100,3.86204165823319,8.27965548749141,4.35447634758283,7.85485011481379,3.49445928879468,15.2989749854017,5.94180248600475,0.904007661378401,0.957728526701595,0.93048128342246,0.877534039334342,0.993907745865971,0.970409051348999,1,0.940818102697998,0.322388735945738,16,553,1.37084093019541,1.2439720536246,0.0290327627105108,
bigram_agnostic,u647,19.9531419178339,6.00755422499416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.678624299839808,100,14.4286592345781,27.4816015612243,8.68159320305546,9.22016322137748,12.5952135169332,23.1781625594231,6.30203378793677,0.874727361718997,0.93759789089616,0.898395721925134,0.851059001512859,0.988250652741515,0.960400348128808,1,0.920800696257615,,16,553,,,,
only_keystroke,u647,,7.32961515091782,23.8488596080191,0.367803542610307,3.25762571634964,0.664208135778382,3.43880890403204,10.8076738706451,2.26392900110412,7.1662519686765,3.39649237431311,14.3778039685408,26.1156903708258,7.62912070044411,4.97389975623582,29.1531813234855,5.33155357633717,11.7389740566524,1.05401504774604,0.278403894977921,8.7017496787259,1.64390415457164,3.96247066646982,1.49802499787624,0.425201933674203,0.76136763029849,3.42653799776867,,3.44918249040537,0.855325650639703,5.07131257039193,3.58126879793706,1.05994863679278,5.0193338111845,1.00919689457226,1.35872653671055,2.39599487369424,,100,9.8786020137615,33.6478758088113,10.7681803084396,26.2606009849303,,66.1767975473004,24.931762759445,0.875359708592555,0.947189075052417,0.877005347593583,0.873714069591528,0.9881636205396,0.968668407310705,1,0.93733681462141,0.566297933303532,16,553,2.76538405731103,2.8997211539923,0.186541721825054,
only_performance,u647,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26813499324244,,,,,,87.9935646102192,,,0.650359607465597,0.686435841012239,0.657754010695187,0.642965204236006,0.827850304612709,0.779460400348129,0.8,0.758920800696258,,16,553,,,,
full,u759,18.5376648604701,1.16190305894028,58.4269176149676,8.69453827283703,1.31559457626997,3.60770239631654,8.39135317489579,12.8619029004085,2.40466927287373,27.8382190877254,7.48180068694505,3.9208108147997,3.02490153349937,,26.838172285764,50.6712265469704,8.05429207095088,11.555719923595,1.71601860540705,6.48077323237578,19.0880606961955,12.7869636447527,0.965605500234964,1.99752658087654,0.371392669732588,1.0372154122282,0.969383695891405,0.82919377630997,14.3871277546518,3.18963398565391,12.34914504489,1.79354996159882,4.83270831109679,10.6042736475889,4.24097179502806,,6.63504223343898,0.514245888876992,100,19.3695108005346,15.4057845091793,14.3673842294001,18.0092628601296,16.9321752036475,34.6003505321001,13.2604168315117,0.696024096670227,0.803915059119228,0.645161290322581,0.746886903017873,0.917534722222222,0.92578125,1,0.8515625,2.74137683682266,5,167,1.49862973789892,6.77237077636149,,2.07779208492412
bigram_agnostic,u759,44.973135164979,6.14718456720757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55131641698366,100,32.2988281141644,30.2079619799932,22.2897652947577,36.4693448695244,35.3257700708197,58.8892443607202,34.2987886629554,0.703135189928452,0.774644268120862,0.741935483870968,0.664334895985936,0.869140625,0.854166666666667,1,0.708333333333333,,5,167,,,,
only_keystroke,u759,,2.05978749052954,40.1816266978135,9.75800367192466,2.58753546132669,3.61983946586816,5.27770585685037,11.8581971678616,1.39494821716876,15.956672310712,10.0967723275221,5.43476965285195,2.56337004942663,,18.6526507415602,45.8621270618747,7.5949183205826,6.89424937870252,1.84917651773154,4.44376457226514,19.9776052894786,12.6968009624045,0.32946429209122,1.96220661425105,0.746576868672029,1.58739440946255,0.712596225904532,0.999373549868352,15.6318243749919,0.222885683580482,10.8133231287076,1.49714637362912,5.49997147863551,7.52677449003753,3.17581727898993,0.434783968223794,3.64213242417503,,100,11.4143978780483,5.76685790012944,9.31294740821205,16.3326754184529,,31.7097928932706,17.7501328395558,0.710328984055273,0.811092903792849,0.693548387096774,0.727109581013771,0.915364583333333,0.907986111111111,1,0.815972222222222,3.03054485597089,5,167,4.03161873500796,8.84948706005086,0.144802637523232,1.12431747972736
only_performance,u759,55.4643969436904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4492786692062,,,,,,100,,,0.535950067578424,0.556952543878739,0.548387096774194,0.523513038382655,0.541232638888889,0.503038194444445,0.5,0.506076388888889,,5,167,,,,
full,u730,7.5839844253475,2.27303911207605,86.3956609141526,0.940080455104232,10.632321087507,0.864965068982698,2.041655215683,2.1265280020042,6.29208588653293,10.1344726985777,8.83976790575818,19.2165213501037,2.21909608705274,1.62155590977108,2.87987514331044,7.64684891702454,1.89298207948643,24.8277527894737,1.10573450940746,0.527888842830618,18.358577968838,1.53808041784598,4.99813338988511,2.49874447095329,0.518795094190826,2.31492316841898,3.47184903323647,,11.3300830499758,3.59434917374726,3.72236321820558,3.73763848412313,3.36109752272788,10.1066399412094,14.1535892442125,1.35617958349362,6.09445781429446,0.0646050294551464,100,6.71713454411609,4.36137960958144,4.56581312290475,31.0656852369575,9.87601736502055,26.0147396873885,11.3199999042132,0.848684276208966,0.928346282475344,0.909560723514212,0.787807828903719,0.977926152948044,0.907545242265032,0.916666666666667,0.898423817863398,1.16753196426758,45,1285,0.311110177943004,2.16671884171498,0.760788776681379,3.32395944717773
